point real,point imag,potential real,potential imag
7.481241e+00,4.319297e+00,6.700142e-03,-1.160499e-02
7.517409e+00,4.340178e+00,6.635824e-03,-1.149359e-02
7.557410e+00,4.363273e+00,6.565765e-03,-1.137224e-02
7.599373e+00,4.387500e+00,6.493454e-03,-1.124699e-02
7.641336e+00,4.411727e+00,6.422331e-03,-1.112380e-02
7.681337e+00,4.434822e+00,6.355616e-03,-1.100825e-02
7.717505e+00,4.455703e+00,6.296185e-03,-1.090531e-02
7.748149e+00,4.473396e+00,6.246480e-03,-1.081922e-02
7.771836e+00,4.487072e+00,6.208461e-03,-1.075337e-02
7.787457e+00,4.496090e+00,6.183580e-03,-1.071027e-02
7.794229e+00,4.500000e+00,6.172840e-03,-1.069167e-02
7.803258e+00,4.505213e+00,6.158562e-03,-1.066694e-02
7.824085e+00,4.517238e+00,6.125819e-03,-1.061023e-02
7.855668e+00,4.535472e+00,6.076661e-03,-1.052509e-02
7.896527e+00,4.559062e+00,6.013939e-03,-1.041645e-02
7.944751e+00,4.586904e+00,5.941152e-03,-1.029038e-02
7.998086e+00,4.617697e+00,5.862180e-03,-1.015359e-02
8.054036e+00,4.650000e+00,5.781015e-03,-1.001301e-02
8.109987e+00,4.682303e+00,5.701524e-03,-9.875329e-03
8.163321e+00,4.713096e+00,5.627267e-03,-9.746712e-03
8.211545e+00,4.740938e+00,5.561366e-03,-9.632568e-03
8.252404e+00,4.764528e+00,5.506432e-03,-9.537419e-03
8.283987e+00,4.782762e+00,5.464525e-03,-9.464835e-03
8.304815e+00,4.794787e+00,5.437151e-03,-9.417422e-03
8.313844e+00,4.800000e+00,5.425347e-03,-9.396977e-03
8.334626e+00,4.811998e+00,5.398325e-03,-9.350174e-03
8.382561e+00,4.839674e+00,5.336761e-03,-9.243542e-03
8.455252e+00,4.881642e+00,5.245395e-03,-9.085290e-03
8.549293e+00,4.935936e+00,5.130632e-03,-8.886516e-03
8.660285e+00,5.000018e+00,4.999964e-03,-8.660192e-03
8.783039e+00,5.070890e+00,4.861180e-03,-8.419810e-03
8.911814e+00,5.145238e+00,4.721707e-03,-8.178237e-03
9.040589e+00,5.219586e+00,4.588152e-03,-7.946913e-03
9.163343e+00,5.290458e+00,4.466048e-03,-7.735422e-03
9.274335e+00,5.354540e+00,4.359791e-03,-7.551380e-03
9.368376e+00,5.408834e+00,4.272703e-03,-7.400538e-03
9.441066e+00,5.450802e+00,4.207161e-03,-7.287017e-03
9.489002e+00,5.478478e+00,4.164762e-03,-7.213580e-03
9.509784e+00,5.490476e+00,4.146579e-03,-7.182086e-03
9.542318e+00,5.509260e+00,4.118352e-03,-7.133195e-03
9.617362e+00,5.552587e+00,4.054332e-03,-7.022309e-03
9.731161e+00,5.618288e+00,3.960062e-03,-6.859029e-03
9.878383e+00,5.703287e+00,3.842904e-03,-6.656105e-03
1.005214e+01,5.803608e+00,3.711196e-03,-6.427981e-03
1.024432e+01,5.914559e+00,3.573266e-03,-6.189078e-03
1.044592e+01,6.030952e+00,3.436673e-03,-5.952492e-03
1.064752e+01,6.147346e+00,3.307765e-03,-5.729218e-03
1.083969e+01,6.258297e+00,3.191521e-03,-5.527876e-03
1.101345e+01,6.358618e+00,3.091609e-03,-5.354824e-03
1.116067e+01,6.443617e+00,3.010583e-03,-5.214483e-03
1.127447e+01,6.509318e+00,2.950115e-03,-5.109750e-03
1.134951e+01,6.552645e+00,2.911232e-03,-5.042401e-03
1.138205e+01,6.571429e+00,2.894612e-03,-5.013616e-03
1.142634e+01,6.596998e+00,2.872218e-03,-4.974827e-03
1.152849e+01,6.655975e+00,2.821543e-03,-4.887055e-03
1.168339e+01,6.745411e+00,2.747219e-03,-4.758322e-03
1.188380e+01,6.861114e+00,2.655344e-03,-4.599191e-03
1.212033e+01,6.997673e+00,2.552717e-03,-4.421436e-03
1.238192e+01,7.148704e+00,2.445994e-03,-4.236586e-03
1.265634e+01,7.307143e+00,2.341072e-03,-4.054856e-03
1.293077e+01,7.465582e+00,2.242759e-03,-3.884573e-03
1.319236e+01,7.616612e+00,2.154698e-03,-3.732046e-03
1.342889e+01,7.753172e+00,2.079463e-03,-3.601735e-03
1.362929e+01,7.868875e+00,2.018760e-03,-3.496595e-03
1.378420e+01,7.958310e+00,1.973642e-03,-3.418447e-03
1.388635e+01,8.017288e+00,1.944711e-03,-3.368338e-03
1.393064e+01,8.042857e+00,1.932366e-03,-3.346955e-03
1.398668e+01,8.075212e+00,1.916912e-03,-3.320189e-03
1.411594e+01,8.149840e+00,1.881966e-03,-3.259661e-03
1.431195e+01,8.263009e+00,1.830769e-03,-3.170985e-03
1.456554e+01,8.409417e+00,1.767577e-03,-3.061533e-03
1.486483e+01,8.582216e+00,1.697115e-03,-2.939489e-03
1.519585e+01,8.773325e+00,1.623983e-03,-2.812822e-03
1.554309e+01,8.973810e+00,1.552231e-03,-2.688543e-03
1.589034e+01,9.174294e+00,1.485131e-03,-2.572322e-03
1.622135e+01,9.365404e+00,1.425138e-03,-2.468412e-03
1.652065e+01,9.538202e+00,1.373969e-03,-2.379784e-03
1.677424e+01,9.684610e+00,1.332741e-03,-2.308375e-03
1.697025e+01,9.797779e+00,1.302131e-03,-2.255357e-03
1.709951e+01,9.872408e+00,1.282519e-03,-2.221388e-03
1.715555e+01,9.904762e+00,1.274154e-03,-2.206900e-03
1.722334e+01,9.943902e+00,1.264143e-03,-2.189561e-03
1.737971e+01,1.003418e+01,1.241498e-03,-2.150338e-03
1.761683e+01,1.017108e+01,1.208302e-03,-2.092841e-03
1.792360e+01,1.034820e+01,1.167295e-03,-2.021815e-03
1.828567e+01,1.055723e+01,1.121527e-03,-1.942542e-03
1.868610e+01,1.078842e+01,1.073975e-03,-1.860179e-03
1.910617e+01,1.103095e+01,1.027269e-03,-1.779281e-03
1.952624e+01,1.127348e+01,9.835442e-04,-1.703548e-03
1.992667e+01,1.150467e+01,9.444122e-04,-1.635770e-03
2.028874e+01,1.171371e+01,9.110058e-04,-1.577908e-03
2.059551e+01,1.189082e+01,8.840693e-04,-1.531253e-03
2.083263e+01,1.202772e+01,8.640585e-04,-1.496593e-03
2.098900e+01,1.211800e+01,8.512319e-04,-1.474377e-03
2.105679e+01,1.215714e+01,8.457597e-04,-1.464899e-03
2.113633e+01,1.220307e+01,8.394058e-04,-1.453893e-03
2.131981e+01,1.230900e+01,8.250202e-04,-1.428977e-03
2.159804e+01,1.246963e+01,8.039010e-04,-1.392397e-03
2.195799e+01,1.267745e+01,7.777609e-04,-1.347121e-03
2.238282e+01,1.292273e+01,7.485169e-04,-1.296469e-03
2.285267e+01,1.319400e+01,7.180543e-04,-1.243707e-03
2.334557e+01,1.347857e+01,6.880536e-04,-1.191744e-03
2.383847e+01,1.376315e+01,6.598946e-04,-1.142971e-03
2.430832e+01,1.403441e+01,6.346312e-04,-1.099213e-03
2.473315e+01,1.427969e+01,6.130168e-04,-1.061776e-03
2.509310e+01,1.448751e+01,5.955560e-04,-1.031533e-03
2.537133e+01,1.464814e+01,5.825656e-04,-1.009033e-03
2.555481e+01,1.475407e+01,5.742302e-04,-9.945959e-04
2.563435e+01,1.480000e+01,5.706720e-04,-9.884329e-04
2.572565e+01,1.485271e+01,5.666287e-04,-9.814297e-04
2.593623e+01,1.497429e+01,5.574647e-04,-9.655573e-04
2.625557e+01,1.515866e+01,5.439867e-04,-9.422126e-04
2.666870e+01,1.539718e+01,5.272632e-04,-9.132467e-04
2.715630e+01,1.567870e+01,5.084988e-04,-8.807458e-04
2.769557e+01,1.599005e+01,4.888893e-04,-8.467812e-04
2.826130e+01,1.631667e+01,4.695125e-04,-8.132195e-04
2.882702e+01,1.664329e+01,4.512652e-04,-7.816142e-04
2.936629e+01,1.695463e+01,4.348437e-04,-7.531713e-04
2.985389e+01,1.723615e+01,4.207552e-04,-7.287693e-04
3.026702e+01,1.747467e+01,4.093473e-04,-7.090104e-04
3.058636e+01,1.765904e+01,4.008444e-04,-6.942828e-04
3.079694e+01,1.778062e+01,3.953812e-04,-6.848204e-04
3.088824e+01,1.783333e+01,3.930474e-04,-6.807781e-04
3.099129e+01,1.789283e+01,3.904379e-04,-6.762583e-04
3.122898e+01,1.803006e+01,3.845170e-04,-6.660030e-04
3.158943e+01,1.823817e+01,3.757922e-04,-6.508911e-04
3.205574e+01,1.850739e+01,3.649385e-04,-6.320920e-04
3.260611e+01,1.882515e+01,3.527226e-04,-6.109335e-04
3.321480e+01,1.917657e+01,3.399132e-04,-5.887469e-04
3.385335e+01,1.954524e+01,3.272111e-04,-5.667463e-04
3.449189e+01,1.991390e+01,3.152080e-04,-5.459562e-04
3.510058e+01,2.026533e+01,3.043706e-04,-5.271853e-04
3.565095e+01,2.058309e+01,2.950455e-04,-5.110339e-04
3.611726e+01,2.085231e+01,2.874760e-04,-4.979231e-04
3.647771e+01,2.106041e+01,2.818228e-04,-4.881315e-04
3.671540e+01,2.119765e+01,2.781856e-04,-4.818316e-04
3.681845e+01,2.125714e+01,2.766306e-04,-4.791383e-04
3.693325e+01,2.132342e+01,2.749135e-04,-4.761642e-04
3.719806e+01,2.147631e+01,2.710134e-04,-4.694090e-04
3.759961e+01,2.170814e+01,2.652556e-04,-4.594362e-04
3.811910e+01,2.200807e+01,2.580750e-04,-4.469990e-04
3.873224e+01,2.236207e+01,2.499689e-04,-4.329589e-04
3.941035e+01,2.275357e+01,2.414408e-04,-4.181878e-04
4.012172e+01,2.316429e+01,2.329551e-04,-4.034900e-04
4.083309e+01,2.357500e+01,2.249090e-04,-3.895537e-04
4.151120e+01,2.396650e+01,2.176209e-04,-3.769305e-04
4.212434e+01,2.432050e+01,2.113319e-04,-3.660376e-04
4.264383e+01,2.462043e+01,2.062143e-04,-3.571737e-04
4.304538e+01,2.485226e+01,2.023849e-04,-3.505409e-04
4.331019e+01,2.500515e+01,1.999177e-04,-3.462676e-04
4.342499e+01,2.507143e+01,1.988620e-04,-3.444391e-04
4.355154e+01,2.514449e+01,1.977080e-04,-3.424403e-04
